Kit_ID,ItemName,ItemNum,Quantity,Kit_Override
012300120135,Salem CT Box,123203,10,53.49
00876063002431,MuscleMilk 14oz CS Lt Straw,876063002332,12,29.99
011000106302,Grand Prix CT Box,116300,10,36.49
011000106388,Grand Prix CT Blue 100 Box,116380,10,36.49
011000126119,Eve CT 120 Men Slim Emerald,112980,10,45.99
012300101134,Camel NF CT Nonfilter Soft,123013,10,67.99
012300103138,Camel CT Box,123033,10,52.99
012300107136,Camel CT Gold Box,123073,10,52.99
012300112130,Winston CT Box,123123,10,53.49
012300119139,Winston CT Gold Box,123193,10,53.49
012300122139,Salem CT 100 Box,123223,10,53.49
012300124133,Salem CT Gold Box,123243,10,53.49
012300125130,Salem CT Gold 100 Box,123253,10,53.49
012300126137,Salem CT Slim Gold 100 Box,123263,10,53.49
012300128131,Salem CT Silver Box,123283,10,53.49
012300129138,Salem CT Silver 100 Box,123293,10,53.49
012300131131,Vantage CT 100 Box,123313,10,999.00
012300154130,Kamel CT Red Box,123543,10,52.49
012300155137,More Ct Red Soft,123553,10,64.99
012300158138,Doral CT MenGold 100 Box,123583,10,43.99
012300159135,Winston CT Gold 100 Box,123593,10,53.49
012300160131,More CT Menthol Soft,123603,10,64.99
012300173131,More Ct Gold Soft,123733,10,64.99
012300174138,More CT MenGold Soft,123743,10,64.99
012300177139,Kamel CT Red Gold Box,123773,10,52.49
012300193139,Camel CT Menthol Box,123933,10,52.99
012300194136,Camel CT MenGold Box,123943,10,52.99
012300197403,Camel CT Crush Box,012300197410,10,52.99
012300212137,Camel CT Silver 99 Box,012300200127,10,52.99
012300215138,Camel CT Silver Box,012300200158,10,52.99
012300220804,Doral Ct 100 Box,012300220798,10,43.99
012300220835,Doral CT Gold 100 Box,012300220828,10,43.99
012300260138,Camel CT Gold 99 Box,012300200608,10,52.99
012300265713,Camel CT Gold Box,012300265706,10,52.99
012300266567,Winston CT 100 Box,012300266550,10,53.49
012300302890,Camel CT Tk Royal Box,012300302883,10,52.99
012300327916,Camel CT Tk Silver Box,012300327909,10,52.99
012300356923,Camel CT No 9 Box,012300265707,10,52.99
012300356954,Camel CT Men No 9 Box,012300356947,10,52.99
012300703130,Winston CT Silver Box,012300703994,10,53.49
012300707138,Camel CT Wide Box,012300707992,10,52.99
012300708135,Camel CT Wide Gold Box,012300708999,10,52.99
012300842136,Doral CT MenGold Box,012300842990,10,43.99
012300844130,Doral CT Silver Box,012300844994,10,43.99
018200112355,Bud 24oz Case,184662,15,20.99
018200532351,Bud 24oz Case Light,184682,15,20.99
020400053581,Misty CT MenGold 120 Box,204353,10,45.59
025900205621,Swisher S CT 60 Grape,259353,60,40.99
025900206024,Swisher S CT 60 Mini,259553,60,40.99
025900206222,Swisher S CT 60 Chocolate,259123,60,40.99
